file,line,aliases,controlSeq,htmlEntity,mathspeak
"/workspaces/mathquill/src/commands/math/advancedSymbols.ts","159","Naturals|naturals|N","\\mathbb{N}","&#8469;","naturals"
"/workspaces/mathquill/src/commands/math/advancedSymbols.ts","168","Probability|probability|Projective|projective|Primes|primes|P","\\mathbb{P}","&#8473;","P"
"/workspaces/mathquill/src/commands/math/advancedSymbols.ts","173","Integers|integers|Z","\\mathbb{Z}","&#8484;","integers"
"/workspaces/mathquill/src/commands/math/advancedSymbols.ts","178","Rationals|rationals|Q","\\mathbb{Q}","&#8474;","rationals"
"/workspaces/mathquill/src/commands/math/advancedSymbols.ts","183","Reals|reals|R","\\mathbb{R}","&#8477;","reals"
"/workspaces/mathquill/src/commands/math/advancedSymbols.ts","193","ComplexPlane|Complexplane|complexplane|Complexes|complexes|Complex|complex|C","\\mathbb{C}","&#8450;","complexes"
"/workspaces/mathquill/src/commands/math/advancedSymbols.ts","199","Quaternions|quaternions|Hamiltonian|H","\\mathbb{H}","&#8461;","quaternions"
"/workspaces/mathquill/src/commands/math/advancedSymbols.ts","202","quad|emsp","\\quad ","    ","4 spaces"
"/workspaces/mathquill/src/commands/math/advancedSymbols.ts","207","qquad|quad|emsp","\\qquad ","        ","8 spaces"
"/workspaces/mathquill/src/commands/math/advancedSymbols.ts","220","diamond","\\diamond ","&#9671;","diamond"
"/workspaces/mathquill/src/commands/math/advancedSymbols.ts","221","bigtriangleup|diamond","\\bigtriangleup ","&#9651;","triangle up"
"/workspaces/mathquill/src/commands/math/advancedSymbols.ts","226","ominus|bigtriangleup|diamond","\\ominus ","&#8854;","o minus"
"/workspaces/mathquill/src/commands/math/advancedSymbols.ts","227","uplus|ominus|bigtriangleup|diamond","\\uplus ","&#8846;","disjoint union"
"/workspaces/mathquill/src/commands/math/advancedSymbols.ts","228","bigtriangledown|uplus|ominus|bigtriangleup|diamond","\\bigtriangledown ","&#9661;","triangle down"
"/workspaces/mathquill/src/commands/math/advancedSymbols.ts","233","sqcap|bigtriangledown|uplus|ominus|bigtriangleup|diamond","\\sqcap ","&#8851;","greatest lower bound"
"/workspaces/mathquill/src/commands/math/advancedSymbols.ts","238","triangleleft|sqcap|bigtriangledown|uplus|ominus|bigtriangleup|diamond","\\triangleleft ","&#8882;","triangle left"
